Regione;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Piemonte;4263281;4275814;4282488;4308768;4344196;4359182;4363175;4360986;4365858;4405425;4430633
Valle d'Aosta/Vallée d'Aoste;122241;123448;124312;125102;125960;126528;126724;126691;127232;128218;128445
Liguria;1572105;1574670;1573350;1572942;1575317;1576872;1575288;1570736;1566233;1578533;1587601
Lombardia;9216916;9308926;9367600;9431905;9507678;9573233;9632412;9682377;9747703;9883961;9988006
Trentino-Alto Adige/Südtirol;962991;973183;982659;993286;1004292;1013276;1020706;1026943;1034760;1045943;1053943
Veneto;4644210;4685678;4715431;4756117;4805471;4834776;4846946;4852808;4867707;4904287;4927207
Friuli-Venezia Giulia;1196806;1200370;1203558;1209970;1217869;1221481;1221209;1219315;1219820;1225612;1228243
Emilia-Romagna;4094865;4132111;4160921;4198813;4249845;4291912;4319014;4336292;4359364;4411921;4448431
Toscana;3544701;3563918;3576090;3598554;3628288;3649365;3663144;3668364;3680304;3721670;3751583
Umbria;844319;850665;854705;861541;871096;877732;882106;883613;884727;891491;895752
Marche;1485572;1495226;1501982;1512985;1528772;1538287;1541111;1541319;1542922;1549147;1551967
Lazio;5193044;5231932;5262069;5310110;5372212;5422400;5462268;5490797;5528649;5713864;5881438
Abruzzo;1277018;1281937;1284643;1291724;1302010;1306904;1307526;1306845;1309462;1323223;1332757
Molise;319819;318890;317752;317431;317305;316246;314939;313744;313243;314033;314037
Campania;5731765;5742196;5739633;5744082;5750332;5754379;5762113;5765137;5767087;5819858;5865747
Puglia;4028954;4033265;4032768;4036377;4042226;4045917;4050838;4051870;4050438;4070535;4090186
Basilicata;593395;591065;587606;585302;584214;582348;580249;578460;576878;577293;577505
Calabria;1994147;1983946;1973011;1970845;1972419;1968558;1964596;1960637;1958328;1969386;1978582
Sicilia;4967128;4968889;4968568;4974754;4986057;4994009;5001543;5002756;4999893;5047435;5093509
Sardegna;1632055;1633358;1634837;1637707;1641175;1641965;1641514;1639764;1639113;1652119;1663573
